Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Worked for 3 months or more but less than 6 months -  Persons,Worked for 3 months or more but less than 6 months - Males,Worked for 3 months or more but less than 6 months - Females,Worked for less than 3 months - Persons,Worked for less than 3 months - Males,Worked for less than 3 months - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0806SC,`33,`000,State - TAMIL NADU,Total,Total,1200828,589003,611825,221386,99368,122018,64235,34632,29603,907752,404844,502908,29410,16268,13142,2853,1862,991,21486,7843,13643,62368,37520,24848,1909,1467,442,114053,65230,48823,100,97,3,23113,16287,6826,19708,19063,645,6188,4990,1198,65,52,13,2558,1856,702,3976,3400,576,12439,8874,3565,11080,4019,7061,16833,4266,12567,122088,55801,66287
B0806SC,`33,`000,State - TAMIL NADU,Total,`5-14,27791,14125,13666,2447,1247,1200,1710,825,885,6398,3130,3268,190,107,83,9,9,0,182,67,115,818,383,435,3,3,0,567,415,152,0,0,0,326,257,69,86,84,2,35,32,3,0,0,0,18,15,3,9,9,0,33,22,11,122,71,51,427,169,258,19305,9774,9531
B0806SC,`33,`000,State - TAMIL NADU,Total,15-34,514340,259560,254780,92423,43892,48531,24863,12711,12152,345420,152968,192452,9430,5443,3987,1174,839,335,9583,3115,6468,40249,23897,16352,852,692,160,51248,33746,17502,63,60,3,12963,9652,3311,12367,12049,318,3402,3053,349,51,40,11,2011,1414,597,2204,1807,397,6072,4318,1754,7536,2718,4818,8346,2127,6219,68929,32803,36126
B0806SC,`33,`000,State - TAMIL NADU,Total,35-59,542581,251957,290624,99202,40691,58511,29692,15927,13765,450052,192771,257281,15744,8230,7514,1436,860,576,9461,3526,5935,18976,11705,7271,926,698,228,53887,27084,26803,35,35,0,8356,5505,2851,6912,6624,288,2441,1708,733,11,9,2,468,371,97,1625,1454,171,5467,3848,1619,3205,1131,2074,6591,1487,5104,26498,9675,16823
B0806SC,`33,`000,State - TAMIL NADU,Total,60+,115103,62833,52270,27165,13465,13700,7930,5151,2779,105325,55730,49595,4028,2470,1558,234,154,80,2249,1127,1122,2252,1490,762,125,71,54,8257,3926,4331,2,2,0,1450,862,588,322,285,37,310,197,113,3,3,0,61,56,5,135,127,8,852,677,175,211,93,118,1457,483,974,7065,3394,3671
B0806SC,`33,`000,State - TAMIL NADU,Total,Age not stated,1013,528,485,149,73,76,40,18,22,557,245,312,18,18,0,0,0,0,11,8,3,73,45,28,3,3,0,94,59,35,0,0,0,18,11,7,21,21,0,0,0,0,0,0,0,0,0,0,3,3,0,15,9,6,6,6,0,12,0,12,291,155,136
B0806SC,`33,`000,State - TAMIL NADU,Rural,Total,966645,459738,506907,174443,73663,100780,59637,32189,27448,824698,364131,460567,19758,11033,8725,1728,1191,537,15349,5526,9823,36310,21404,14906,859,716,143,74344,36221,38123,73,70,3,11608,8398,3210,10490,10243,247,3521,3028,493,42,42,0,928,694,234,1701,1425,276,4915,3371,1544,6147,2336,3811,11656,3166,8490,57324,28217,29107
B0806SC,`33,`000,State - TAMIL NADU,Rural,`5-14,17239,8713,8526,1977,985,992,1443,684,759,6005,2922,3083,144,80,64,6,6,0,142,47,95,551,250,301,0,0,0,375,275,100,0,0,0,178,142,36,50,48,2,23,23,0,0,0,0,6,6,0,6,6,0,12,12,0,74,41,33,285,115,170,9916,5041,4875
B0806SC,`33,`000,State - TAMIL NADU,Rural,15-34,406847,198575,208272,71974,31917,40057,22933,11766,11167,316885,138622,178263,6687,3909,2778,732,543,189,7023,2264,4759,24855,14506,10349,388,318,70,34045,20056,13989,50,47,3,7101,5431,1670,7510,7368,142,2255,2069,186,33,33,0,762,554,208,1010,810,200,2412,1684,728,4545,1720,2825,5885,1653,4232,33710,17139,16571
B0806SC,`33,`000,State - TAMIL NADU,Rural,35-59,444800,199573,245227,77922,29808,48114,27799,14887,12912,406147,172178,233969,10307,5468,4839,882,567,315,6487,2344,4143,9647,5860,3787,434,371,63,34121,13572,20549,23,23,0,3630,2386,1244,2826,2739,87,1100,835,265,9,9,0,124,98,26,648,574,74,2195,1464,731,1456,535,921,4455,1033,3422,10432,4438,5994
